run;trial;from set;prime;target;sex;race;target position;r-k(ascii);file name target ;file name distracter;seq;HTyp
3;136;2;haus04;dis136;0;0;right;29;Fam16_024_2.jpg;Dis03_for_Fam16_024_2.jpg;22;2
3;137;2;hauso5;dis137;0;0;left;157;Fam17_025_2.jpg;Dis03_for_Fam17_025_2.jpg;5;2
3;138;2;haus06;dis138;0;0;right;29;Fam18_026_2.jpg;Dis03_for_Fam18_026_2.jpg;17;2
3;139;3;haus07;dis139;0;0;left;157;Fam19_027_2.jpg;Dis03_for_Fam19_027_2.jpg;45;2
3;140;3;haus08;dis140;0;0;right;29;Fam20_028_2.jpg;Dis03_for_Fam20_028_2.jpg;27;2
3;141;3;haus09;dis141;0;0;left;157;Fam21_029_2.jpg;Dis03_for_Fam21_029_2.jpg;8;2
3;142;4;haus10;dis142;0;0;right;29;Fam22_030_2.jpg;Dis03_for_Fam22_030_2.jpg;6;2
3;143;4;haus11;dis143;0;0;left;157;Fam23_084_2.jpg;Dis03_for_Fam23_084_2.jpg;6;2
3;144;4;haus12;dis144;0;0;right;29;Fam24_088_2.jpg;Dis03_for_Fam24_088_2.jpg;19;2
3;145;1;haus01;dis145;0;0;left;157;Fam25_021_3.jpg;Dis03_for_Fam25_021_3.jpg;19;3
3;146;1;haus02;dis146;0;0;right;29;Fam26_022_3.jpg;Dis03_for_Fam26_022_3.jpg;36;3
3;147;1;haus03;dis147;0;0;left;157;Fam27_023_3.jpg;Dis03_for_Fam27_023_3.jpg;40;3
3;148;2;haus04;dis148;0;0;right;29;Fam28_024_3.jpg;Dis03_for_Fam28_024_3.jpg;29;3
3;149;2;hauso5;dis149;0;0;left;157;Fam29_025_3.jpg;Dis03_for_Fam29_025_3.jpg;30;3
3;150;2;haus06;dis150;0;0;right;29;Fam30_026_3.jpg;Dis03_for_Fam30_026_3.jpg;42;3
3;151;3;haus07;dis151;0;0;left;157;Fam31_027_3.jpg;Dis03_for_Fam31_027_3.jpg;43;3
3;152;3;haus08;dis152;0;0;right;29;Fam32_028_3.jpg;Dis03_for_Fam32_028_3.jpg;19;3
3;153;3;haus09;dis153;0;0;left;157;Fam33_029_3.jpg;Dis03_for_Fam33_029_3.jpg;3;3
3;154;4;haus10;dis154;0;0;right;29;Fam34_030_3.jpg;Dis03_for_Fam34_030_3.jpg;23;3
3;155;4;haus11;dis155;0;0;left;157;Fam35_074_3.jpg;Dis03_for_Fam35_074_3.jpg;39;3
3;156;4;haus12;dis156;0;0;right;29;Fam36_082_3.jpg;Dis03_for_Fam36_082_3.jpg;12;3
3;157;1;haus01;dis157;0;0;left;157;Fam37_02_4.jpg;Dis03_for_Fam37_02_4.jpg;17;4
3;158;1;haus02;dis158;0;0;right;29;Fam38_07_4.jpg;Dis03_for_Fam38_07_4.jpg;6;4
3;159;1;haus03;dis159;0;0;left;157;Fam39_017_4.jpg;Dis03_for_Fam39_017_4.jpg;7;4
3;160;2;haus04;dis160;0;0;right;29;Fam40_023_4.jpg;Dis03_for_Fam40_023_4.jpg;32;4
3;161;2;hauso5;dis161;0;0;left;157;Fam41_028_4.jpg;Dis03_for_Fam41_028_4.jpg;35;4
3;162;2;haus06;dis162;0;0;right;29;Fam42_043_4.jpg;Dis03_for_Fam42_043_4.jpg;22;4
3;163;3;haus07;dis163;0;0;left;157;Fam43_054_4.jpg;Dis03_for_Fam43_054_4.jpg;19;4
3;164;3;haus08;dis164;0;0;right;29;Fam44_060_4.jpg;Dis03_for_Fam44_060_4.jpg;43;4
3;165;3;haus09;dis165;0;0;left;157;Fam45_066_4.jpg;Dis03_for_Fam45_066_4.jpg;45;4
3;166;4;haus10;dis166;0;0;right;29;Fam46_080_4.jpg;Dis03_for_Fam46_080_4.jpg;24;4
3;167;4;haus11;dis167;0;0;left;157;Fam47_086_4.jpg;Dis03_for_Fam47_086_4.jpg;10;4
3;168;4;haus12;dis168;0;0;right;29;Fam48_088_4.jpg;Dis03_for_Fam48_088_4.jpg;25;4
3;169;1;haus01;dis169;0;0;left;157;Fam49_03_5.jpg;Dis03_for_Fam49_03_5.jpg;38;5
3;170;1;haus02;dis170;0;0;right;29;Fam50_010_5.jpg;Dis03_for_Fam50_010_5.jpg;23;5
3;171;1;haus03;dis171;0;0;left;157;Fam51_014_5.jpg;Dis03_for_Fam51_014_5.jpg;4;5
3;172;2;haus04;dis172;0;0;right;29;Fam52_016_5.jpg;Dis03_for_Fam52_016_5.jpg;15;5
3;173;2;hauso5;dis173;0;0;left;157;Fam53_017_5.jpg;Dis03_for_Fam53_017_5.jpg;11;5
3;174;2;haus06;dis174;0;0;right;29;Fam54_029_5.jpg;Dis03_for_Fam54_029_5.jpg;44;5
3;175;3;haus07;dis175;0;0;left;157;Fam55_039_5.jpg;Dis03_for_Fam55_039_5.jpg;40;5
3;176;3;haus08;dis176;0;0;right;29;Fam56_052_5.jpg;Dis03_for_Fam56_052_5.jpg;34;5
3;177;3;haus09;dis177;0;0;left;157;Fam57_059_5.jpg;Dis03_for_Fam57_059_5.jpg;14;5
3;178;4;haus10;dis178;0;0;right;29;Fam58_066_5.jpg;Dis03_for_Fam58_066_5.jpg;37;5
3;179;4;haus11;dis179;0;0;left;157;Fam59_079_5.jpg;Dis03_for_Fam59_079_5.jpg;18;5
3;180;4;haus12;dis180;0;0;right;29;Fam60_084_5.jpg;Dis03_for_Fam60_084_5.jpg;21;5
