run;trial;from set;prime;target;sex;race;target position;r-k(ascii);file name target;file name distracter;seq;age
3;155;2;m05;dis155;male;caucasian;left;157;Fam35_07_8_m.jpg;Dis03_for_Fam35_07_8_m.jpg;39;8
3;156;1;m06;dis156;male;caucasian;right;29;Fam36_02_9_m.jpg;Dis03_for_Fam36_02_9_m.jpg;12;9
3;157;2;m07;dis157;male;caucasian;left;157;Fam37_010_10_m.jpg;Dis03_for_Fam37_010_10_m.jpg;17;10
3;158;1;m08;dis158;male;caucasian;right;29;Fam38_02_11_m.jpg;Dis03_for_Fam38_02_11_m.jpg;6;11
3;159;2;m09;dis159;male;caucasian;left;157;Fam39_03_12_m.jpg;Dis03_for_Fam39_03_12_m.jpg;7;12
3;160;1;m10;dis160;male;caucasian;right;29;Fam40_010_13_m.jpg;Dis03_for_Fam40_010_13_m.jpg;32;13
3;161;2;m11;dis161;male;caucasian;left;157;Fam41_01_14_m.jpg;Dis03_for_Fam41_01_14_m.jpg;35;14
3;162;1;m12;dis162;male;caucasian;right;29;Fam42_03_15_m.jpg;Dis03_for_Fam42_03_15_m.jpg;22;15
3;163;2;m13;dis163;male;caucasian;left;157;Fam43_05_16_m.jpg;Dis03_for_Fam43_05_16_m.jpg;19;16
3;164;1;m14;dis164;male;caucasian;right;29;Fam44_06_17_m.jpg;Dis03_for_Fam44_06_17_m.jpg;43;17
3;165;2;m15;dis165;male;caucasian;left;157;Fam45_06_18_m.jpg;Dis03_for_Fam45_06_18_m.jpg;45;18
3;166;4;m16;dis166;male;caucasian;right;29;Fam46_015_4_m.jpg;Dis03_for_Fam46_015_4_m.jpg;24;4
3;167;3;m17;dis167;male;caucasian;left;157;Fam47_016_5_m.jpg;Dis03_for_Fam47_016_5_m.jpg;10;5
3;168;4;m18;dis168;male;caucasian;right;29;Fam48_010_6_m.jpg;Dis03_for_Fam48_010_6_m.jpg;25;6
3;169;3;m19;dis169;male;caucasian;left;157;Fam49_012_7_m.jpg;Dis03_for_Fam49_012_7_m.jpg;38;7
